SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,AURKA,-0.24439798399550555,2.0551939567679478e-14
XPO5,AURKAIP1,0.13920800432529887,1.6284574930772368e-05
XPO5,AURKB,-0.16128119848235054,5.659265678076689e-07
XPO5,AVEN,0.137070604915891,2.1983147156786393e-05
XPO5,AVL9,0.08480831175846994,0.008844739896648034
XPO5,AXDND1,0.1462155927690426,5.9026363415791355e-06
XPO5,AXL,-0.10005764248678188,0.0019952943834851775
XPO5,AZIN1,0.1280031157855382,7.47660947620284e-05
XPO5,B3GALT4,0.1527101073461192,2.2079870954568427e-06
XPO5,B3GAT2,0.10564487085692667,0.0010966674206394124
XPO5,B4GALT3,0.14514136241784797,6.917584582733516e-06
XPO5,B4GALT6,0.0943498561138114,0.0035706457742946756
XPO5,B4GALT7,0.10682257530961325,0.0009631474613215703
XPO5,BAD,0.10796569409040863,0.0008480744962622186
XPO5,BAG2,0.08979402649690997,0.005562548531191904
XPO5,BAG4,-0.08650591731682651,0.007571638562917962
XPO5,BAIAP2,0.0875520280415759,0.006871329961777862
XPO5,BAIAP2L1,0.08561288443346005,0.008219307164000387
XPO5,BAK1,-0.10551982365904393,0.0011118056536280694
XPO5,BANF1,-0.20523310540234835,1.6350754275572405e-10
XPO5,BANF2,-0.11211405288212807,0.0005290312577158135
XPO5,BANP,-0.18247906086081075,1.4231565443656634e-08
XPO5,BARD1,0.08814442386009064,0.006501054593556391
XPO5,BAZ1B,0.11373973252745764,0.00043779124685837633
XPO5,BAZ2B,-0.12460271655382638,0.00011595027962591858
XPO5,BBLN,0.0952474344550837,0.003264785339804597
XPO5,BCAR1,-0.12132311740262289,0.00017520945849204913
XPO5,BCAR3,-0.08413088632839076,0.009403888258888625
XPO5,BCAS1,-0.1076795230630586,0.000875622433687742
XPO5,BCAS3,0.10549823852365774,0.0011144381952727868
XPO5,BCKDHB,0.10469487001348485,0.0012166086809216005
XPO5,BCL2L13,0.11177374219265518,0.0005502451036008526
XPO5,BCL2L15,-0.13794388183904452,1.945715124342499e-05
XPO5,BCL6B,0.1312214486493138,4.885786577882804e-05
XPO5,BCS1L,0.11438781422658457,0.0004056892385027175
XPO5,BDH2,0.09898655139150753,0.002230577376495663
XPO5,BDNF,0.08757908796868101,0.006854012381387085
XPO5,BEST1,-0.10603391389352591,0.0010507784700122666
XPO5,BEST3,-0.08484000370152076,0.008819322972660327
XPO5,BET1,-0.22319539989591913,3.2703768702831046e-12
XPO5,BET1L,0.11198005158119365,0.0005372919657601044
XPO5,BFAR,0.11607491540878892,0.0003321204298352746
XPO5,BHMT2,0.08735636498462586,0.0069977211192020685
XPO5,BICRA,0.17105082364024665,1.0966527898783698e-07
XPO5,BICRAL,0.11858226686693198,0.00024547562248406694
XPO5,BIRC2,0.10322546503605218,0.0014261355792037403
XPO5,BIRC5,0.09239247685906024,0.004329736657626276
XPO5,BIVM,0.09380651448426804,0.003768215697480061
XPO5,BLM,0.13611311114985988,2.510993351966343e-05
XPO5,BLMH,-0.08561787946779978,0.008215550965161612
XPO5,BLOC1S1,0.13070417058303976,5.2350663146799814e-05
XPO5,BLOC1S2,0.19334807991904668,1.8026160071154187e-09
XPO5,BLOC1S5,0.08814810288908773,0.006498812129526539
XPO5,BLZF1,0.0898722428080081,0.005521244423313953
XPO5,BMP4,-0.08972080811462137,0.005601465406281086
XPO5,BMPR1A,-0.10897966976022194,0.0007567952030461286
XPO5,BNIP1,-0.11523604213936975,0.0003669849154269138
XPO5,BNIP2,0.1003663723304518,0.0019318290827675228
XPO5,BOD1,0.08750979543424015,0.0068984360629566095
XPO5,BOD1L1,0.10794547741510432,0.0008499939716224098
XPO5,BOP1,0.22904978229529568,8.475438083127019e-13
XPO5,BORA,-0.12412384269347577,0.00012323273183864877
XPO5,BORCS7,0.11497558432289123,0.0003784864758314083
XPO5,BPI,-0.08883054422414724,0.006094666914511221
XPO5,BPIFA1,-0.20324714268811614,2.467189900430547e-10
XPO5,BPIFA2,-0.13958613151473165,1.5435583239818807e-05
XPO5,BPIFA3,-0.11174983427666334,0.0005517647973809083
